ID RA DEC F435W F435We F438WU F438WUe F606W F606We F606WU F606WUe F814W F814We F090W F090We F115W F115We F140M F140Me F150W F150We F162M F162Me F182M F182Me F200W F200We F210M F210Me F250M F250Me F277W F277We F300M F300Me F335M F335Me F356W F356We F360M F360Me F410M F410Me F444W F444We F105W F105We F125W F125We F140W F140We F160W F160We z50_phos z16_phos z84_phos zb_phos zb_eazy zspec zspec_e mu50 mu16 mu84 mass50_DB mass16_DB mass84_DB mass50_BP mass16_BP mass84_BP
1111752 64.3969696370143 -11.871979089368349 10.9 6.94 -99.0 -99.0 0.95 6.08 -99.0 -99.0 -99.0 -99.0 -1.12 6.06 18.65 6.0 -99.0 -99.0 15.89 5.88 -99.0 -99.0 -99.0 -99.0 15.97 5.83 -99.0 -99.0 -99.0 -99.0 12.82 5.78 -99.0 -99.0 -99.0 -99.0 33.94 5.73 -99.0 -99.0 77.68 6.12 83.77 5.37 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 8.58 8.06 9.04 8.25 7.42 -99.0 -99.0 1.56 1.36 1.61 9.31 8.93 9.52 9.57 9.46 9.78
1113392 64.42791173915936 -11.85779143072611 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 5.11 6.5 56.53 6.5 -99.0 -99.0 126.14 6.45 -99.0 -99.0 -99.0 -99.0 114.78 6.34 -99.0 -99.0 -99.0 -99.0 118.87 6.27 -99.0 -99.0 -99.0 -99.0 128.34 6.24 -99.0 -99.0 152.13 6.58 306.07 5.82 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 8.4 8.28 8.5 8.44 8.89 -99.0 -99.0 1.12 1.08 1.13 9.0 8.47 9.48 8.47 8.43 8.52
1211968 64.39529405057179 -11.799743286806962 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 5.57 4.62 14.18 4.61 18.79 5.2 21.54 4.51 28.19 5.08 18.37 4.56 -99.0 -99.0 31.3 4.76 33.36 5.23 24.9 4.41 24.42 4.82 33.29 4.55 -99.0 -99.0 48.7 4.55 122.54 4.58 111.34 4.15 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 8.76 8.61 8.95 7.59 7.2 -99.0 -99.0 1.05 1.03 1.05 9.72 9.54 9.87 8.19 8.11 8.22
4105584 215.9675903118487 24.071808323402163 2.87 5.21 -99.0 -99.0 -2.76 5.05 -99.0 -99.0 -5.02 5.71 -2.45 5.54 34.09 5.43 -99.0 -99.0 36.9 5.24 -99.0 -99.0 -99.0 -99.0 29.84 5.13 -99.0 -99.0 -99.0 -99.0 33.59 5.01 -99.0 -99.0 -99.0 -99.0 51.55 5.0 -99.0 -99.0 160.51 5.31 131.96 4.64 24.95 6.6 11.29 7.81 38.36 7.06 37.09 8.3 7.57 7.53 7.59 7.58 7.46 -99.0 -99.0 1.67 1.55 1.72 8.14 7.72 9.13 7.86 7.81 7.88
4115596 215.93249890022787 24.140432216478928 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.61 5.47 20.83 5.34 -99.0 -99.0 14.83 5.17 -99.0 -99.0 -99.0 -99.0 7.55 5.08 -99.0 -99.0 -99.0 -99.0 4.87 4.94 -99.0 -99.0 -99.0 -99.0 21.06 4.94 -99.0 -99.0 108.01 5.23 96.56 4.56 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 7.58 7.55 7.6 7.58 7.46 -99.0 -99.0 1.07 1.06 1.08 8.5 8.14 9.58 9.18 8.93 10.23
4117337 215.94445254098997 24.06873817819118 3.29 4.59 -99.0 -99.0 1.83 4.42 -99.0 -99.0 2.65 5.11 -7.1 4.77 18.38 4.68 -99.0 -99.0 38.57 4.53 -99.0 -99.0 -99.0 -99.0 35.73 4.45 -99.0 -99.0 -99.0 -99.0 45.17 4.36 -99.0 -99.0 -99.0 -99.0 69.68 4.36 -99.0 -99.0 126.15 4.66 251.77 4.0 15.77 5.52 17.69 6.31 9.25 6.33 25.07 6.53 7.78 7.73 9.87 7.75 8.79 8.2953 0.0005 27.81 23.48 39.63 8.25 7.47 8.56 7.74 7.44 8.2
4201666 215.87026231720458 24.110359548646272 -99.0 -99.0 1.47 5.48 -99.0 -99.0 6.69 3.94 -99.0 -99.0 3.16 3.38 14.46 3.35 15.4 3.94 20.32 3.23 23.41 3.89 20.96 3.37 -99.0 -99.0 18.5 3.48 12.75 3.77 25.47 3.08 25.26 3.4 29.84 3.22 -99.0 -99.0 26.19 3.22 113.94 3.3 64.17 2.84 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 7.34 7.2 7.45 7.44 7.17 -99.0 -99.0 1.02 1.02 1.02 7.94 7.62 8.72 7.88 7.81 7.89
4210883 215.87422808143336 24.162117237812126 -99.0 -99.0 -7.45 5.63 -99.0 -99.0 7.51 3.96 -99.0 -99.0 4.55 3.34 34.05 3.38 40.03 3.98 41.29 3.26 31.25 3.79 35.24 3.35 -99.0 -99.0 36.46 3.42 31.75 3.76 34.94 3.12 36.22 3.42 44.97 3.28 -99.0 -99.0 41.35 3.28 82.5 3.34 103.49 2.87 -99.0 -99.0 32.02 5.07 -99.0 -99.0 28.59 6.18 7.64 7.62 7.66 7.64 7.62 -99.0 -99.0 1.01 1.01 1.01 8.08 7.7 8.93 7.85 7.81 7.85
4220076 215.86022707197785 24.156279957323747 -99.0 -99.0 -0.79 4.47 -99.0 -99.0 3.02 3.51 -99.0 -99.0 0.87 3.29 11.04 3.3 30.63 3.78 30.15 3.21 20.76 3.73 25.99 3.29 -99.0 -99.0 20.98 3.36 12.35 3.8 24.62 3.09 23.48 3.39 28.46 3.24 -99.0 -99.0 37.21 3.24 26.64 3.3 62.56 2.83 -99.0 -99.0 14.06 4.9 -99.0 -99.0 27.08 5.91 8.47 8.3 8.63 8.5 8.55 -99.0 -99.0 1.01 1.01 1.01 8.3 7.64 8.99 7.76 7.75 7.77
3102668 64.07904388606468 -24.125957068343556 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 5.94 5.36 9.33 5.49 -99.0 -99.0 14.61 5.25 -99.0 -99.0 -99.0 -99.0 15.6 5.14 -99.0 -99.0 -99.0 -99.0 20.79 5.01 -99.0 -99.0 -99.0 -99.0 42.73 5.0 -99.0 -99.0 60.46 5.27 106.08 4.59 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 10.29 9.72 10.81 7.78 8.27 -99.0 -99.0 1.1 1.1 1.1 9.93 9.62 10.16 8.62 8.45 9.48
