#Multi-component catalogue from Noirot et al.
#See Table B2 in Noirot et al. for a description of catalogue entries 
ID RA DEC Z_GRISM ZERR_GRISM Q_FLAG Z_SPEC REF_SPEC MU
370.1 110.836547 -73.47164 0.7486 0.0018 2 "" "" 1.3
370.2 110.836733 -73.471544 0.7468 0.5423 2 "" "" 1.3
376.1 110.795234 -73.471358 1.9556 0.0012 1 "" "" 1.6
376.2 110.79487 -73.471266 1.973 0.0012 1 "" "" 1.6
376.3 110.795574 -73.47142 1.9697 0.0004 1 "" "" 1.6
534.1 110.772443 -73.46244 0.713 0.0012 2 "" "" 1.5
534.2 110.772823 -73.462473 0.743 0.0007 2 "" "" 1.5
566.1 110.8903 -73.460361 2.1354 0.0013 1 "" "" 2.4
566.2 110.890507 -73.460493 2.1763 0.0014 1 "" "" 2.4
680.1 110.871502 -73.455621 1.0845 0.0007 2 "" "" 2.9
680.2 110.871488 -73.45543 1.0888 0.0022 2 "" "" 2.9
680.3 110.871266 -73.455322 1.0819 0.0006 2 "" "" 2.9
680.4 110.871115 -73.455233 1.085 0.0005 2 "" "" 3.0
710.1 110.877568 -73.453858 1.4905 0.001 2 "" "" 3.1
710.2 110.877452 -73.45371 1.4843 0.0004 1 "" "" 3.1
738.1 110.852203 -73.452625 "" "" -99 1.4816 muse 11.0
738.2 110.852099 -73.452423 "" "" -99 1.4817 muse 10.3
788.1 110.764746 -73.450158 3.0969 0.0026 2 "" "" 3.0
788.2 110.764458 -73.450339 3.102 0.0014 2 "" "" 3.0
885.1 110.830998 -73.444457 1.502 0.0016 2 "" "" 2.3
885.2 110.830947 -73.444357 1.4981 0.0014 2 "" "" 2.3
890.1 110.823561 -73.444429 3.3741 0.0004 2 "" "" 2.9
890.2 110.823995 -73.444391 3.3731 0.0005 2 "" "" 2.9
908.1 110.846094 -73.442943 1.3702 0.0013 2 "" "" 1.9
908.2 110.847042 -73.442971 1.3422 0.0035 2 "" "" 1.9
908.3 110.847351 -73.442972 1.373 0.0006 2 "" "" 1.9
934.1 110.862103 -73.441356 1.08 0.0006 2 "" "" 1.6
934.2 110.863113 -73.441546 0.9443 0.0006 2 "" "" 1.5
935.1 110.820903 -73.441427 1.2607 0.0002 1 "" "" 1.8
935.2 110.8219 -73.441514 1.2828 0.0008 2 "" "" 1.8
949.1 110.851886 -73.44038 1.67 0.0005 2 "" "" 1.7
949.2 110.852327 -73.440416 1.6717 0.0004 2 "" "" 1.8
1153.1 110.771694 -73.459541 1.9871 0.0006 2 "" "" 2.5
1153.2 110.771524 -73.459245 1.9842 0.0013 2 "" "" 2.6
1154.1 110.770383 -73.459581 1.9989 0.0021 1 "" "" 2.5
1154.2 110.770715 -73.459809 2.0638 0.0025 2 "" "" 2.5
1155.1 110.852443 -73.459581 "" "" -99 1.0815 muse 3.3
1155.2 110.853477 -73.459642 1.0844 0.0002 1 1.0815 muse 3.2
1168.1 110.806535 -73.458254 "" "" -99 2.211 nirspec 12.2
1168.2 110.808213 -73.458832 2.2117 0.0018 2 "" "" 8.3
